Study,PubMed,Title
Franchini 97,9176339,Vasopressin modulation of medullary blood flow and pressure-natriuresis-diuresis in the decerebrated rat
Garcia-Esta&ntilde; 89,2912167,Role of renal interstitial hydrostatic pressure in the pressure diuresis response
Guarasci 96,8779881,Pressure natriuresis following acute and chronic inhibition of nitric oxide synthase in rats
Ikenaga 93,7679457,Role of NO on pressure-natriuresis in Wistar-Kyoto and spontaneously hypertensive rats
Liu 99,10188997,The subtype 2 of angiotensin II receptors and pressure-natriuresis in adult rat kidneys
Lo 95,7883985,Subtype 2 of Angiotensin 11 Receptors Controls Pressure-Natriuresis in Rats
Lo 02,11842127,Chromosome 1 blood pressure QTL region influences renal function curve and salt sensitivity in SHR
Madrid 97,9374809,Effect of interactions between nitric oxide and angiotensin II on pressure diuresis and natriuresis
Mark 94,8160866,Altered pressure natriuresis in chronic angiotensin II hypertension in rats
Masilamani 98,9731858,The acute pressure natriuresis response blunted and the blood pressure response reset in the normal pregnant rat
Mattson 91,2058747,Influence of angiotensin II on pressure natriuresis and renal hemodynamics in volume-expanded rats
Patel 93,8244518,L-arginine administration normalizes pressure natriuresis in hypertensive Dahl rats
Roman 91,1887948,Pressure natriuresis and cortical and papillary blood flow in inbred Dahl rats
Takezawa 87,2954473,Atriopeptin III alters renal medullary hemodynamics and the pressure-diuresis response in rats
