"x","y","study","cond"
98.1716270263,0.379200172667,"Franchini 97","ADH"
112.160985771,0.410790376434,"Franchini 97","ADH"
128.229215379,0.702401313315,"Franchini 97","ADH"
94.1335748927,1.00107589824,"Franchini 97","control"
107.267251162,3.07873024386,"Franchini 97","control"
120.307334094,6.87983622801,"Franchini 97","control"
105.421984278,0.373077176843,"Garcia-Estan 89","ADH"
126.954398929,1.7969913473,"Garcia-Esta&ntilde; 89","ADH"
152.62748129,3.45094915829,"Garcia-Esta&ntilde; 89","ADH"
105.433860539,3.24193639603,"Garcia-Esta&ntilde; 89","Vol Exp"
132.369408261,9.86018295097,"Garcia-Esta&ntilde; 89","Vol Exp"
160.666013158,20.2588035139,"Garcia-Esta&ntilde; 89","Vol Exp"
100.968072504,6.55992674046,"Guarasci 96","L-Arg"
125.03510353,14.7129577813,"Guarasci 96","L-Arg"
150.057306694,24.0382868315,"Guarasci 96","L-Arg"
99.8694942904,2.91687722357,"Guarasci 96","Control"
124.796084829,8.97837227364,"Guarasci 96","Control"
151.027732463,26.4760745185,"Guarasci 96","Control"
99.8933448649,5.17431846097,"Guarasci 96","L-Name L-Arg"
126.104998074,14.0686662839,"Guarasci 96","L-Name L-Arg"
151.125929371,22.8598111823,"Guarasci 96","L-Name L-Arg"
125.840130506,4.82172472385,"Guarasci 96","L-Name acute"
149.983686786,10.362451798,"Guarasci 96","L-Name acute"
175.040783034,33.0561330561,"Guarasci 96","L-Name acute"
124.796084829,6.06776936304,"Guarasci 96","L-Name chronic"
149.983686786,12.9612043968,"Guarasci 96","L-Name chronic"
174.127243067,36.0694990385,"Guarasci 96","L-Name chronic"
134.836065574,3.28304269262,"Ikenaga 93","SHR"
161.885245902,4.82137025668,"Ikenaga 93","SHR"
193.135245902,8.32070624605,"Ikenaga 93","SHR"
137.26541555,3.12959899606,"Ikenaga 93","SHR Larg"
163.002680965,8.14680660924,"Ikenaga 93","SHR Larg"
191.554959786,12.4527979009,"Ikenaga 93","SHR Larg"
134.002677376,3.93485207614,"Ikenaga 93","SHR Larg LNMMA"
161.445783133,4.64498976642,"Ikenaga 93","SHR Larg LNMMA"
192.369477912,10.7854183811,"Ikenaga 93","SHR Larg LNMMA"
129.394240318,1.8280008071,"Ikenaga 93","SHR LNMMA"
