"x","y","study","cond"
97.9234972678,6.07654190415,"Franchini 97","ADH"
112.021857923,7.00932291361,"Franchini 97","ADH"
127.868852459,9.30185870694,"Franchini 97","ADH"
93.9890710383,42.6004269738,"Franchini 97","control"
107.103825137,73.6319211861,"Franchini 97","control"
120.109289617,111.920500617,"Franchini 97","control"
105.443879221,2.1863887764,"Garcia-Esta&ntilde; 89","ADH"
127.00526453,7.23900634074,"Garcia-Esta&ntilde; 89","ADH"
152.718361505,17.0929419792,"Garcia-Esta&ntilde; 89","ADH"
105.364217837,19.5314623633,"Garcia-Esta&ntilde; 89","Vol Exp"
132.469724791,62.1421201245,"Garcia-Esta&ntilde; 89","Vol Exp"
160.967641723,137.509500008,"Garcia-Esta&ntilde; 89","Vol Exp"
101.067350459,67.1535539146,"Guarasci 96","L-Arg"
125.11475737,121.710526316,"Guarasci 96","L-Arg"
150.374101899,189.847714831,"Guarasci 96","L-Arg"
100.011617854,26.4887063655,"Guarasci 96","Control"
124.895439317,61.6016427105,"Guarasci 96","Control"
150.07970388,181.724845996,"Guarasci 96","Control"
100.593352626,69.2526871757,"Guarasci 96","L-Name L-Arg"
127.153945943,130.048255118,"Guarasci 96","L-Name L-Arg"
152.645798882,193.997868792,"Guarasci 96","L-Name L-Arg"
124.889765481,48.6652977413,"Guarasci 96","L-Name acute"
150.029720091,67.7618069815,"Guarasci 96","L-Name acute"
175.230195612,224.845995893,"Guarasci 96","L-Name acute"
124.88760402,43.7371663244,"Guarasci 96","L-Name chronic"
150.035664109,81.3141683778,"Guarasci 96","L-Name chronic"
175.236950178,240.246406571,"Guarasci 96","L-Name chronic"
90.6936416185,4.04345706526,"Liu 99","Control"
112.658959538,13.3688179638,"Liu 99","Control"
131.040462428,31.9946673565,"Liu 99","Control"
87.688780312,2.68107090651,"Liu 99","PD"
110.666413024,9.96435651495,"Liu 99","PD"
130.085904804,29.6890206051,"Liu 99","PD"
90.9401469793,4.40257113679,"Liu 99","PD TA-10"
112.06952482,14.03792627,"Liu 99","PD TA-10"
132.866497126,28.9933719137,"Liu 99","PD TA-10"
90.6936416185,3.49268253858,"Liu 99","TA-10"
110.809248555,10.7558226299,"Liu 99","TA-10"
129.884393064,19.3976898511,"Liu 99","TA-10"
93.0057803468,3.90178384886,"Liu 99","TA-30"
113.930635838,12.8847014814,"Liu 99","TA-30"
131.849710983,20.4270094416,"Liu 99","TA-30"
89.7687861272,3.63196800414,"Liu 99","TA-5"
112.774566474,12.1293762996,"Liu 99","TA-5"
132.89017341,29.0310706078,"Liu 99","TA-5"
143.10139165,1.3667604761,"Lo 02","SHR"
177.097415507,4.05497749434,"Lo 02","SHR"
197.31610338,12.185725474,"Lo 02","SHR"
142.206759443,2.19827356209,"Lo 02","SHR WKY"
174.055666004,5.57995748453,"Lo 02","SHR WKY"
197.137176938,12.462850602,"Lo 02","SHR WKY"
113.93638171,3.10958491475,"Lo 02","WKY"
141.312127237,4.48433210262,"Lo 02","WKY"
168.330019881,10.5691737024,"Lo 02","WKY"
89.5714285714,4.74546004843,"Lo 95","CGP-1"
111,14.0705205811,"Lo 95","CGP-1"
128,24.5302663438,"Lo 95","CGP-1"
145.571428571,42.7454600484,"Lo 95","CGP-1"
89.8571428571,5.12742130751,"Lo 95","CGP-10"
111,11.7823849879,"Lo 95","CGP-10"
130.142857143,18.9415859564,"Lo 95","CGP-10"
147.857142857,31.8180992736,"Lo 95","CGP-10"
111.018193374,7.41463414634,"Lo 95","Control 1"
129.883371733,15.8048780488,"Lo 95","Control 1"
152.755223643,34.1463414634,"Lo 95","Control 1"
88.4285714286,5.12439467312,"Lo 95","Control 2"
111.714285714,16.3601694915,"Lo 95","Control 2"
130.857142857,31.4007263923,"Lo 95","Control 2"
143.714285714,43.1228813559,"Lo 95","Control 2"
109.712083896,8.39024390244,"Lo 95","PD"
128.802891873,27.512195122,"Lo 95","PD"
144.726622706,58.9268292683,"Lo 95","PD"
99.9438199617,15.187711553,"Madrid 97","Control"
120.03417619,27.5630503888,"Madrid 97","Control"
139.986891324,49.6878730706,"Madrid 97","Control"
100.01404501,11.4379748969,"Madrid 97","L-Name"
120.022191115,17.9630054448,"Madrid 97","L-Name"
139.963857509,31.2377866938,"Madrid 97","L-Name"
100.03913876,31.5380689985,"Madrid 97","L-Name Vals"
120.063015276,50.6631585354,"Madrid 97","L-Name Vals"
140.069475981,55.838182763,"Madrid 97","L-Name Vals"
100.028090019,22.6880275657,"Madrid 97","Valsartan"
120.0482212,38.8131030576,"Madrid 97","Valsartan"
139.986516791,49.3878716661,"Madrid 97","Valsartan"
116.053148564,8.769561156,"Mark 94","AngII-10"
134.062348526,21.5313797055,"Mark 94","AngII-10"
150.079400237,46.6921543514,"Mark 94","AngII-10"
114.02594672,11.7340934698,"Mark 94","AngII-30"
133.060432135,26.1584537899,"Mark 94","AngII-30"
150.093781198,50.5626871852,"Mark 94","AngII-30"
115.010015312,19.4462688148,"Mark 94","Control-10"
135.088789592,57.7906607217,"Mark 94","Control-10"
149.15041586,88.0912163789,"Mark 94","Control-10"
115.010914122,19.6881771169,"Mark 94","Control-30"
136.099694084,55.5826696584,"Mark 94","Control-30"
150.199070374,96.0433740045,"Mark 94","Control-30"
101.895898651,8.85613358113,"Mattson 91","AngII"
122.989402602,27.6031721261,"Mattson 91","AngII"
145.053696321,71.5481848232,"Mattson 91","AngII"
100.851905971,29.2635730398,"Mattson 91","Captopril"
121.930088383,57.5559307126,"Mattson 91","Captopril"
141.094355148,88.2177361007,"Mattson 91","Captopril"
95.9298613968,15.6973428478,"Mattson 91","Control"
120.92482515,53.8349245982,"Mattson 91","Control"
141.073075232,101.475123778,"Mattson 91","Control"
98.96020912,32.7272727273,"Roman 91","Dahl R, High Salt"
126.430387616,61.6267942584,"Roman 91","Dahl R, High Salt"
155.851129421,96.8421052632,"Roman 91","Dahl R, High Salt"
103.844329922,13.340470833,"Roman 91","Dahl R, Low Salt"
133.74319518,47.853306235,"Roman 91","Dahl R, Low Salt"
169.377464857,84.3356076553,"Roman 91","Dahl R, Low Salt"
117.840367692,8.42105263158,"Roman 91","Dahl S, High Salt"
151.739048463,44.5933014354,"Roman 91","Dahl S, High Salt"
185.672378739,87.2727272727,"Roman 91","Dahl S, High Salt"
105.94081924,12.4942537079,"Roman 91","Dahl S, Low Salt"
136.007839152,22.8768962764,"Roman 91","Dahl S, Low Salt"
180.089763132,47.1208052067,"Roman 91","Dahl S, Low Salt"
